index,baseline,observed,residual,label,A,B,C
1,20.249349,20.844348,0.594999,0,0,0,0
2,20.494808,20.341483,0.153325,0,0,0,0
3,20.732545,20.177056,0.555489,0,0,0,0
4,20.958851,21.255319,0.296468,0,0,0,0
5,21.170195,21.649287,0.479092,0,0,0,0
6,21.363278,20.943353,0.419925,0,0,0,0
7,21.535087,21.164205,0.370882,0,0,0,0
8,21.682942,22.198439,0.515497,0,1,0,0
9,21.804535,22.042580,0.238044,0,1,0,0
10,21.897969,23.321131,1.423162,1,1,0,0
11,21.961786,21.872387,0.089399,0,0,0,0
12,21.994990,22.594866,0.599876,0,1,0,0
13,21.997063,21.931881,0.065182,0,0,0,0
14,21.967972,21.384893,0.583079,0,0,0,0
15,21.908172,22.123607,0.215435,0,1,0,0
16,21.818595,22.346159,0.527564,0,1,0,0
17,21.700640,22.949257,1.248618,0,1,0,0
18,21.556146,21.119130,0.437016,0,0,0,0
19,21.387370,21.851367,0.463997,0,0,0,0
20,21.196944,23.514394,2.317450,1,1,1,1
21,20.987841,20.442041,0.545800,0,0,0,0
22,20.763322,20.586519,0.176803,0,0,0,0
23,20.526892,21.118252,0.591360,0,0,0,0
24,20.282240,20.306656,0.024416,0,0,0,0
25,20.033184,19.435532,0.597652,0,0,0,0
26,19.783610,19.913202,0.129592,0,0,0,0
27,19.537412,20.101670,0.564257,0,0,0,0
28,19.298434,19.023438,0.274995,0,0,0,0
29,19.070402,18.577008,0.493394,0,0,0,0
30,18.856877,21.259015,2.402138,1,0,1,1
31,18.661190,19.050958,0.389768,0,0,0,0
32,18.486395,17.983819,0.502576,0,0,0,0
33,18.335219,18.074960,0.260259,0,0,0,0
34,18.210021,20.379664,2.169642,0,0,1,1
35,18.112756,18.226224,0.113469,0,0,0,0
36,18.044940,17.446058,0.598882,0,0,0,0
37,18.007632,18.048488,0.040857,0,0,0,0
38,18.001414,18.589768,0.588354,0,0,0,0
39,18.026384,17.833915,0.192469,0,0,0,0
40,18.082151,19.543395,1.461243,1,0,0,0
41,18.167846,18.499147,0.331300,0,0,0,0
42,18.282131,18.735515,0.453384,0,0,0,0
43,18.423223,17.975090,0.448133,0,0,0,0
44,18.588919,18.251014,0.337905,0,0,0,0
45,18.776636,19.311843,0.535207,0,0,0,0
46,18.983442,19.183430,0.199988,0,0,0,0
47,19.206111,18.619369,0.586742,0,0,0,0
